style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Spirited Away Water Temple | Храм воды Унесенных призраками,"стиль Studio Ghibli, сцена водного храма Унесенных призраками, фоновые рисунки акварелью, мягкий пар, поднимающийся из горячих источников, детализированная деревянная архитектура, мягкое магическое освещение, атмосфера мира духов","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, темные взрослые темы, резкие края, фотореалистичные текстуры, цифровые эффекты"
My Neighbor Totoro Forest Magic | Магия леса Мой сосед Тоторо,"стиль Studio Ghibli, сцена духа леса Мой сосед Тоторо, мягкая пастельная цветовая палитра, мягкий дождь, падающий на листья, гигантское камфорное дерево с полым стволом, атмосфера детского волшебства, качество ручной анимации","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, резкие линии, фотореалистичные текстуры, мультяшная комедия, взрослые темы"
Princess Mononoke Forest Spirit | Лесной дух Принцессы Мононокэ,"стиль Studio Ghibli, сцена духа леса Принцессы Мононокэ, детализированная среда древнего леса, головы духов кодама, парящие в воздухе, мягкий солнечный свет, пробивающийся сквозь листву, духовная связь с природой, гармония окружающей среды","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, яркие плоские цвета, мультяшные пропорции, цифровые эффекты, фокус на человеческих технологиях"
Howl's Moving Castle Steam Magic | Паровая магия Ходячего замка,"стиль Studio Ghibli, сцена паровой магии Ходячего замка, детализированный дизайн замка на механических ногах, парящие острова на фоне, мягкие акварельные облака, плавные движения анимации, эстетика европейской деревни","темные дистопические темы, западная мультяшная анимация, 3D рендеринг, резкие механические края, фотореалистичные текстуры, мультяшная комедия, современные технологии"
Ponyo Ocean Waves | Океанские волны Поньо,"стиль Studio Ghibli, сцена океанских волн Поньо, яркий подводный мир, детализированные рыбьи персонажи, движение волн ручной росписи, детская простота, яркая цветовая палитра, магическая трансформация моря","темные взрослые темы, западная мультяшная анимация, 3D рендеринг, реалистичная физика океана, фотореалистичные текстуры, взрослая драма, сложные дизайны персонажей"
Kiki's Delivery Service Coastal Town | Прибрежный город Ведьмина служба доставки,"стиль Studio Ghibli, сцена прибрежного европейского городка Ведьмины службы доставки, яркие дома на скалах, мягкие эффекты морского бриза, акварельные небеса, силуэт летящей ведьмы, ностальгическая летняя атмосфера","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные драматические темы, мультяшная комедия"
Nausicaa Valley of the Wind Toxic Jungle | Токсичные джунгли Навсикая,"стиль Studio Ghibli, сцена токсичных джунглей Навсикаи, гигантские мутантные насекомые, детализированная грибная среда обитания, принцесса в синем одеянии на планере, экологические темы, мягкая атмосферная перспектива","городская среда, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшные пропорции, фокус на современных технологиях, цифровые эффекты"
Castle in the Sky Laputa Ruins | Руины Лапуты Замок в небе,"стиль Studio Ghibli, сцена парящих руин Лапуты Замка в небе, древние механические конструкции, заросшие растениями, мягкие облака, дрейфующие через арки, стимпанк эстетика с органической интеграцией, мирное заброшенность","современная архитектура, западная мультяшная анимация, 3D рендеринг, резкие чистые линии, фотореалистичные текстуры, темные дистопические темы, мультяшная комедия"
Grave of the Fireflies Night Sky | Ночное небо Могила светлячков,"стиль Studio Ghibli, сцена ночного неба Могилы светлячков, мягкий лунный свет над японской деревней, нежное свечение светлячков, текстуры акварели, эмоциональная атмосфера, ностальгия военного времени","яркие радостные цвета, западная мультяшная анимация, 3D рендеринг, мультяшная комедия, магические фэнтези элементы, цифровые эффекты, современный сеттинг"
Only Yesterday Rural Japan | Сельская Япония Повзрослевшие дети,"стиль Studio Ghibli, сцена сельской японской местности Повзрослевшие дети, детализированные рисовые поля, традиционные фермерские дома, мягкие сезонные изменения, ностальгические воспоминания детства, мягкая акварельная палитра, реалистичные пропорции человека","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
