style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Spirited Away Water Temple | Храм воды Унесенных призраками,"Studio Ghibli style, Spirited Away bathhouse water temple scene, hand-painted watercolor backgrounds, gentle steam rising from hot springs, detailed wooden architecture, soft magical lighting, spirit world atmosphere","3D CGI rendering, anime style, cartoon comedy, dark mature themes, sharp edges, photorealistic textures, digital effects"
My Neighbor Totoro Forest Magic | Магия леса Мой сосед Тоторо,"Studio Ghibli style, My Neighbor Totoro forest spirit scene, soft pastel color palette, gentle rain falling on leaves, giant camphor tree with hollow interior, childlike wonder atmosphere, hand-drawn animation quality","dark horror themes, anime style, 3D rendering, sharp lines, photorealistic textures, cartoon comedy, adult themes"
Princess Mononoke Forest Spirit | Лесной дух Принцессы Мононокэ,"Studio Ghibli style, Princess Mononoke forest spirit scene, detailed ancient forest environment, kodama spirit heads floating, soft dappled sunlight through leaves, spiritual nature connection, environmental harmony","modern city aesthetic, anime style, 3D CGI, bright flat colors, cartoon proportions, digital effects, human technology focus"
Howl's Moving Castle Steam Magic | Паровая магия Ходячего замка,"Studio Ghibli style, Howl's Moving Castle steam-powered magic scene, intricate mechanical castle design, floating islands background, soft watercolor clouds, gentle movement animation, European countryside aesthetic","dark dystopian themes, anime style, 3D rendering, sharp mechanical edges, photorealistic textures, cartoon comedy, modern technology"
Ponyo Ocean Waves | Океанские волны Поньо,"Studio Ghibli style, Ponyo ocean wave scene, vibrant underwater world, detailed fish characters, hand-painted wave movement, childlike simplicity, bright color palette, magical sea transformation","dark mature themes, anime style, 3D CGI, realistic ocean physics, photorealistic textures, adult drama, complex character designs"
Kiki's Delivery Service Coastal Town | Прибрежный город Ведьмина служба доставки,"Studio Ghibli style, Kiki's Delivery Service coastal European town scene, colorful houses on cliffs, soft ocean breeze effects, hand-painted watercolor skies, flying witch silhouette, nostalgic summer atmosphere","modern city aesthetic, anime style, 3D rendering, sharp architectural lines, photorealistic textures, dark dramatic themes, cartoon comedy"
Nausicaa Valley of the Wind Toxic Jungle | Токсичные джунгли Навсикая,"Studio Ghibli style, Nausicaa Valley of the Wind toxic jungle scene, giant mutant insects, detailed fungal forest environment, blue-clad princess riding glider, environmental themes, soft atmospheric perspective","urban setting, anime style, 3D CGI, bright cheerful colors, cartoon proportions, modern technology focus, digital effects"
Castle in the Sky Laputa Ruins | Руины Лапуты Замок в небе,"Studio Ghibli style, Castle in the Sky Laputa floating ruins scene, ancient mechanical structures overgrown with plants, soft clouds drifting through arches, steampunk aesthetic with organic integration, peaceful abandonment","modern architecture, anime style, 3D rendering, sharp clean lines, photorealistic textures, dark dystopian themes, cartoon comedy"
Grave of the Fireflies Night Sky | Ночное небо Могила светлячков,"Studio Ghibli style, Grave of the Fireflies night sky scene, soft moonlight over Japanese countryside, gentle firefly glow, hand-painted watercolor textures, emotional atmosphere, wartime nostalgia","bright cheerful colors, anime style, 3D CGI, cartoon comedy, magical fantasy elements, digital effects, contemporary setting"
Only Yesterday Rural Japan | Сельская Япония Повзрослевшие дети,"Studio Ghibli style, Only Yesterday rural Japanese countryside scene, detailed rice paddies, traditional farm houses, soft seasonal changes, nostalgic childhood memories, gentle watercolor palette, realistic human proportions","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright saturated colors, digital effects"
